code,Z_score
GM1507,NaN
GM0321,-1.34691397848631
GM0406,-3.33205578100077
GM0677,NaN
GM1884,NaN
GM0166,-0.292396984893204
GM0678,0.196365038973036
GM0537,-3.24624552947019
GM0928,3.5379927624919
GM1598,NaN
GM0542,-1.94240496563923
GM1931,-2.03715412083329
GM1659,NaN
GM1982,1.30470504121203
GM0882,3.84133911396764
GM0415,-3.46653635388349
GM1621,-1.72817464840943
GM0417,-2.88985672021769
GM0080,-1.1128585677983
GM0546,-3.20876977283321
GM0547,-3.19360134940301
GM1916,NaN
GM0995,-1.74653206461905
GM1640,3.6583088217016
GM0327,-1.53377886212322
GM1705,0.714484607718944
GM0553,-3.85127466894476
GM0262,1.06620345236069
GM0809,0.112472122602698
GM0331,-2.05275475726895
GM0168,1.32268325850219
GM0263,-0.354909130950101
GM1641,3.50473762157652
GM1991,1.26458506804214
GM0556,NaN
GM0935,4.29110500649297
GM0420,-2.19903149638283
GM0938,5.01298897507339
GM1948,NaN
GM0119,-0.287016322621332
GM0687,-0.209788580465632
GM1842,-2.45869198478934
GM1731,NaN
GM1952,0.419872912990819
GM1709,-1.5116682327677
GM1978,NaN
GM1955,1.59664345733141
GM0944,1.81221571174547
GM1740,-0.644722413103111
GM0946,NaN
GM0356,-2.09606019469611
GM0569,-2.60906648499447
GM0267,-2.04065497524068
GM0268,0.36297255883207
GM1930,NaN
GM1970,-0.376665618021174
GM1695,0.202074937822387
GM1699,-0.316328789316905
GM0171,-1.12355212729113
GM0575,-3.5693588825353
GM0820,NaN
GM0302,-0.15076315532259
GM0579,-3.12879306732538
GM0823,1.48602920906015
GM0824,0.298384279483028
GM1895,NaN
GM0269,0.294349542080735
GM0173,1.83733195673865
GM1773,1.39053497418819
GM0175,1.36556633346064
GM1586,1.54192058427807
GM0826,-0.917752263314618
GM0085,-0.29419124901918
GM0432,NaN
GM0086,0.0498543435090213
GM0828,-0.0744486828546323
GM1509,1.78443008365388
GM0589,-2.04935998919597
GM1734,0.507898752657868
GM0590,-1.61198058540747
GM1894,3.24298424633669
GM0765,0.184250775841696
GM1926,-1.85635867339698
GM0439,NaN
GM0273,-1.77000166885361
GM0177,1.33153503392068
GM0703,0.225260824508341
GM0274,0.62101414145566
GM0275,1.10919964072023
GM0340,-0.569271527808863
GM0597,-1.8028854331798
GM1742,NaN
GM0603,-2.6134418604161
GM1669,3.99718872877534
GM0957,3.23074851735631
GM1674,-0.561617653841474
GM0599,-1.42742764108599
GM0840,-0.920293716278577
GM0441,-1.74215723993161
GM0279,-1.08959761619304
GM0606,-1.80393567186192
GM1676,-0.918222364600716
GM0965,NaN
GM0845,0.535309663777502
GM1883,4.03181493953063
GM0610,-1.75832028679497
GM1714,-0.388512375047108
GM0090,-0.462380740639785
GM0342,-3.0363935894617
GM0847,3.48119511441311
GM0848,1.76170816761303
GM0037,0.542241416410382
GM0180,0.351213153463886
GM0532,-2.09421614208233
GM0851,-0.870812189581102
GM1708,-0.607939241443515
GM0971,4.27217420726036
GM1904,-2.87704290918767
GM1900,-0.72202717521531
GM0715,NaN
GM0093,-0.667813695099044
GM0448,-1.00865989585389
GM1525,-3.51433134612381
GM0716,-0.558072127459243
GM0281,-0.422937229240504
GM0855,-0.654189565140026
GM0183,1.2952097924398
GM1700,NaN
GM1730,-0.0649964518645147
GM0737,-0.853243085535726
GM0450,-3.87158971382659
GM0451,-2.89482600391259
GM0184,-1.79981441808904
GM0344,NaN
GM1581,-1.57747578826253
GM0981,4.97535200862761
GM0994,4.48571369464061
GM0858,3.83599924367193
GM0047,0.418579618111751
GM0345,-0.802461340749808
GM0717,-0.555187221198208
GM0861,2.29526463183066
GM0453,-3.4149344267412
GM0983,NaN
GM0984,NaN
GM1961,-1.09912222788796
GM0622,-2.50946781534833
GM0718,-0.703289785895152
GM0986,4.46929979744073
GM0626,-3.18975004899481
GM0285,-1.29686278462378
GM0865,-0.403096060164207
GM1949,-0.86796110619948
GM0866,3.47899623405298
GM0867,-0.987973259225631
GM0627,-1.89100682431466
GM0289,-0.196182232367008
GM0629,-3.10659818128545
GM0852,-3.23854119804581
GM0988,3.41765547510474
GM1960,-1.12900007914673
GM0668,-0.397409053895496
GM1969,-0.00559851718702118
GM1701,-0.294513495576267
GM0293,NaN
GM1950,1.13058104027934
GM1783,-2.13486925163516
GM0098,-1.49370491533448
GM0189,1.48315303942377
GM0296,NaN
GM1696,-2.9733073488984
GM0352,-1.75437021751283
GM0294,1.31331909751445
GM0873,0.563656909020818
GM0632,NaN
GM0880,-3.54458547754675
GM0351,NaN
GM0353,-2.2843153817019
GM0479,-3.35924905200501
GM0297,-1.04266552172367
GM0473,-3.76078875318789
