code,Z_value
GM1676,-0.374993391516069
GM0965,.
GM0845,1.43470387128226
GM1883,3.13081205513834
GM0610,-0.605170400280751
GM1714,-2.12529581030801
GM0090,-0.214527637189345
GM0342,-2.15704713924452
GM0847,3.02755196515246
GM0848,2.22447565239987
GM0037,0.675725351336113
GM0180,0.253080990439916
GM0532,-3.22225756742111
GM0851,-0.656620704083319
GM1708,-1.08051875419827
GM0971,3.18175284019262
GM1904,-1.75383960704651
GM1900,-1.84964285547388
GM0715,.
GM0093,-0.915315897754386
GM0448,-2.14329551444893
GM1525,-2.31929031185752
GM0716,-0.198137379627388
GM0281,-0.725851835315118
GM0855,0.678899709063371
GM0183,2.08803900998264
GM1700,.
GM1730,0.253322031933345
GM0737,-0.42027412438797
GM0450,-3.93221489719052
GM0451,-1.68104535903224
GM0184,-2.75367146275546
GM0344,.
GM1581,-0.496389204006273
GM0981,4.31704140069235
GM0994,3.76772855737832
GM0858,3.18647670299635
GM0047,0.705855880134171
GM0345,-0.378082815730183
GM0717,-1.85324166367544
GM0861,3.54840270453946
GM0453,-3.17873687339298
GM0983,.
GM0984,.
GM1961,-0.0638738614311606
GM0622,-1.10159082820821
GM0718,-1.88362412967401
GM0986,4.3297517547996
GM0626,-2.14394027301858
GM0285,-0.703785143714614
GM0865,0.817102108070989
GM1949,-0.672980334858708
GM0866,3.2576944304452
GM0867,0.439183266652838
GM0627,-0.876249487634949
GM0289,-0.350479529417466
GM0629,-2.02431532322561
GM0852,-3.51088353751155
GM0988,2.79345991382634
GM1960,-0.247485403152128
GM0668,-0.545102226331666
GM1969,0.510414899389266
GM1701,-0.0476153729163397
GM0293,.
GM1950,0.958298606908248
GM1783,-0.755791250459682
GM0098,-0.986931658747297
GM0189,1.78935849748874
GM0296,.
GM1696,-1.99289266606042
GM0352,-0.899734118274418
GM0294,2.87362272074386
GM0873,0.0253810324122684
GM0632,.
GM0880,-3.73325281990129
GM0351,.
GM0353,-0.687197580403309
GM0479,-3.2494255011368
GM0297,0.068088060044597
GM0473,-3.26771332127058
GM0050,-2.07477061241828
GM0355,-1.40291088556976
GM0299,.
GM0637,.
GM0638,-2.19374473764118
GM1892,.
GM0879,0.257629133837355
GM0301,1.58054920531171
GM1896,-0.632271371916712
GM0642,-1.03624848867447
GM0193,0.761481557839077
