code,Z_score
GM0074,-0.414548597301718
GM0080,-1.32485571943955
GM0085,-0.449698752318476
GM0086,-0.171414742492854
GM0090,-0.468193587279846
GM0093,-0.0129303291853929
GM0098,-0.559630653936071
GM0106,0.617268007737368
GM0109,1.2422386504508
GM0114,1.2951475815823
GM0118,0.549225825667459
GM0119,-0.490000882001751
GM0141,1.75815235872177
GM0147,1.61713331238031
GM0148,0.266414633070224
GM0150,-0.126954663560601
GM0153,2.19121361947262
GM0158,2.18995360732884
GM0160,0.32517302938412
GM0163,1.01995057979382
GM0164,1.97267211009448
GM0166,-1.69596202493216
GM0168,1.72825734856781
GM0171,-2.6856107780337
GM0173,1.73608373009521
GM0175,1.05612984580777
GM0177,0.320194488121494
GM0180,-0.517513103276883
GM0183,1.4518736246726
GM0184,-3.31360251103721
GM0189,1.31559082248704
GM0193,-0.465518154272248
GM0197,1.80381555219825
GM0200,-0.535954388891449
GM0202,0.381625860056714
GM0203,-2.40722744778238
GM0209,-0.00841912042575219
GM0213,0.395290630660685
GM0214,-1.17504045316943
GM0216,-1.93355938578148
GM0221,0.797109496647323
GM0222,1.85459068558821
GM0225,-0.642394170387814
GM0226,1.06949320497567
GM0228,-0.716512284030685
GM0230,-1.41579435583859
GM0232,-1.03741609716443
GM0233,-2.60248723695289
GM0243,-2.60395714522191
GM0244,-0.274171312004489
GM0246,-0.313188430636766
GM0252,1.20042100130497
GM0262,0.300139664911958
GM0263,-1.10648243562182
GM0267,-3.73566473592917
GM0268,0.378941426904626
GM0269,-1.2494422798586
GM0273,-3.0330161775522
GM0274,-0.0297958205817782
GM0275,0.692713701108352
GM0279,-2.33155955256321
GM0281,-1.30440366357003
GM0285,-0.00898139949170313
GM0289,-0.390980468536505
GM0293,0.982609745444409
GM0294,1.48241693598585
GM0296,-0.0809661180351395
GM0297,-1.44221439495417
GM0299,0.908806643535966
GM0301,0.676469733587532
GM0302,-2.0609402640982
GM0303,-2.4513195725984
GM0307,-4.04659261965223
GM0308,-4.37732182872022
GM0310,-3.77274240584623
GM0312,-3.36282865122498
GM0313,-4.88954833933061
GM0317,-4.88735330288347
GM0321,-2.30279730237457
GM0327,-3.42355516433817
GM0331,-3.10275326355819
GM0340,-0.9203970405706
GM0342,-3.52931508434361
GM0344,-4.41507539816889
GM0345,-1.28620418000436
GM0351,-2.8640290415117
GM0352,-1.97124738285838
GM0353,-3.82021172619439
GM0355,-3.65658286206151
GM0356,-3.84637302664951
GM0358,-4.74733708023516
GM0361,-4.97029412558094
GM0362,-4.9676520171265
GM0363,-4.98862093022587
GM0373,-4.47342635839167
GM0375,-5.55882682220229
GM0376,-4.78914623900801
GM0377,-5.2514087105296
GM0383,-5.15726916932311
GM0384,-5.04348792850331
GM0385,-5.86099739929068
GM0388,-3.50951431595375
GM0392,-5.34059578902983
GM0394,-5.20638464771206
GM0396,-5.22215049080443
GM0397,-5.37694690711287
GM0399,-4.8575279943615
GM0400,-2.44431032012622
GM0402,-4.41741209710086
GM0405,-4.72568521612198
GM0406,-4.72296389720391
GM0415,-5.38205273009047
GM0417,-4.73670519081925
GM0420,-4.2611626324677
GM0432,-4.39089165285263
GM0439,-5.75064264650584
GM0441,-4.08136482811838
GM0448,-2.29315359611259
GM0450,-5.73152774442412
GM0451,-4.67886465309216
GM0453,-5.25276111163172
GM0473,-5.34061789215998
GM0479,-5.55863695896155
GM0482,-2.62411588148963
GM0484,-3.8567997464368
GM0489,-1.94827956639874
GM0498,-4.02869477493734
GM0502,-2.61443318041137
GM0503,-2.45206325580122
GM0505,-1.78012258547173
GM0512,-2.35073570980137
GM0513,-3.19549775755691
GM0518,-2.37127085576893
GM0523,-3.09756959807891
GM0531,-2.34011267030189
GM0532,-3.51304262780398
GM0534,-5.39120932293659
GM0537,-4.32815289093059
GM0542,-2.79263561757693
GM0546,-4.89882433681415
GM0547,-4.70293548286575
GM0553,-5.41891273205715
GM0556,-2.47078301922447
GM0569,-3.89697175111687
GM0575,-5.48000105822534
GM0579,-4.73565421662479
GM0589,-3.74424825198679
GM0590,-2.43250541337124
GM0597,-2.28438177158921
GM0599,-2.38708085858858
GM0603,-2.33139408790464
GM0606,-1.70926414061973
GM0610,-2.91881622525938
GM0613,-1.58650998088514
GM0622,-2.52451418823213
GM0626,-4.20971904757045
GM0627,-3.67977116571442
GM0629,-4.08051633367381
GM0632,-3.92915670880544
GM0637,-3.52112371373662
GM0638,-4.48386298421861
GM0642,-1.79256062490427
GM0654,0.575763455191217
GM0664,0.465709937822581
GM0668,-0.81014130396226
GM0677,0.45454905318733
GM0678,0.0727518701823788
GM0687,0.376146002109271
GM0703,0.196145771348722
GM0715,0.622957416475169
GM0716,-0.560240841968837
GM0717,0.0220644588032435
GM0718,0.544238037292738
GM0736,-4.55940274752178
GM0737,-0.985100738449932
GM0743,4.32112043906
GM0744,-0.366481017053809
GM0748,-0.0445117915088424
GM0753,1.85404617317305
GM0755,1.74714861054496
GM0757,0.579122577792581
GM0758,-0.447343795981015
GM0762,4.80258603896235
GM0765,1.6308680903451
GM0766,-0.956621685233922
GM0770,2.49246769050466
GM0772,2.63984950696206
GM0777,-0.95404879313101
GM0779,-1.59668743945934
GM0784,-0.772585367437511
GM0785,-0.520384215814978
GM0794,3.10236745929744
GM0796,-0.548994122054474
GM0797,-1.38643904018944
GM0798,0.640124222915358
GM0809,-0.699549881192173
GM0820,2.45037290332279
GM0823,1.38875395373691
GM0824,0.204087935307289
GM0826,-1.32773446469048
GM0828,-0.630244822766905
GM0840,-1.08601366946184
GM0845,0.0446416312960797
GM0847,3.86143272266798
GM0848,2.05515623753015
GM0851,-1.24527331486844
GM0852,-4.76062336542357
GM0855,-0.82796617445092
GM0858,3.93260647506341
GM0861,2.63687662531269
GM0865,-0.497639695304061
