code,Z_score
GM0321,-1.91000258296787
GM0406,-2.95191278735399
GM0677,NaN
GM1884,NaN
GM0166,0.0811755045955429
GM0678,0.17322464912288
GM0537,-3.3182071121297
GM0928,3.90674708144361
GM1598,NaN
GM0542,-1.33640473296466
GM1931,-2.05712961350868
GM1659,NaN
GM1982,1.70629743664317
GM0882,3.84133911396764
GM0415,-3.77671966935622
GM1621,-1.7842035968485
GM0417,-2.86034473162112
GM0080,-1.27328290441341
GM0546,-3.34407721605511
GM0547,-3.35044282034379
GM1916,NaN
GM0995,-1.8844951176134
GM1640,3.35824036493564
GM0327,-1.71002252938155
GM1705,0.712989056920279
GM0553,-3.99399437298935
GM0262,0.742140109708741
GM0809,-0.31132271778043
GM0331,-2.16229335313121
GM0168,1.46018582086533
GM0263,-0.209365197677859
GM1641,3.23725596155556
GM1991,1.22653885800452
GM0556,NaN
GM0935,4.26815249255105
GM0420,-2.27984157673213
GM0938,5.01298897507339
GM1948,NaN
GM0119,0.0890562878074387
GM0687,0.255435839668462
GM1842,-2.05353925889084
GM1731,NaN
GM1952,0.7321289006506
GM1709,-1.42963254060672
GM1978,NaN
GM1955,1.47340861789319
GM0944,2.05030162352292
GM1740,-0.475909120457683
GM0946,NaN
GM0356,-2.39818874790398
GM0569,-2.59796130750828
GM0267,-1.74658181566787
GM0268,0.720432392954758
GM1930,NaN
GM1970,-0.602144226540608
GM1695,0.397771412898021
GM1699,-0.251857569213386
GM0171,-1.22351142661674
GM0575,-3.72276055652719
GM0820,NaN
GM0302,-0.598306336445557
GM0579,-3.1863780920572
GM0823,1.25036123321458
GM0824,-0.355697520406246
GM1895,NaN
GM0269,0.0309902922249144
GM0173,2.04161644854715
GM1773,1.56981646816359
GM0175,1.30579422943032
GM1586,1.5414841466695
GM0826,-1.05674357715461
GM0085,-0.348774939280026
GM0432,NaN
GM0086,-0.101794069930234
GM0828,-0.0901801640084717
GM1509,2.21763503115516
GM0589,-2.31738389312194
GM1734,0.349550369852976
GM0590,-1.47615864537359
GM1894,3.17924008424654
GM0765,0.431152074056852
GM1926,-2.00087535401709
GM0439,NaN
GM0273,-1.74965740085221
GM0177,1.01831568296939
GM0703,0.342801720768865
GM0274,0.528354416046753
GM0275,0.869657503616829
GM0340,-0.544089363744013
GM0597,-1.54601815642641
GM1742,NaN
GM0603,-2.16417961858245
GM1669,3.97657015348945
GM0957,2.93566970694213
GM1674,-0.843363032286461
GM0599,-1.32986668227545
GM0840,-0.81737487908555
GM0441,-2.36441157336123
GM0279,-0.88404455822137
GM0606,-1.76190080142435
GM1676,-0.884927876245851
GM0965,NaN
GM0845,0.411679581818575
GM1883,3.79693224363029
GM0610,-1.55888799999383
GM1714,-0.307862787280274
GM0090,-0.258122628405777
GM0342,-2.1698509813405
GM0847,3.76301361686316
GM0848,2.02353189239155
GM0037,0.393800579937325
GM0180,0.164367777605533
GM0532,-2.13351782624244
GM0851,-0.978920212578302
GM1708,-0.460306695064429
GM0971,4.27217420726036
GM1904,-2.80073534238622
GM1900,-0.611994039221799
GM0715,NaN
GM0093,-0.667813695099044
GM0448,-1.21598288632197
GM1525,-3.83089673753734
GM0716,-0.232745884528266
GM0281,-0.475731802484349
GM0855,-0.728751576417278
GM0183,1.37481111741514
GM1700,NaN
GM1730,0.0387519418563448
GM0737,-1.13651027841542
GM0450,-3.74222722204098
GM0451,-2.96582526890291
GM0184,-1.77936579114246
GM0344,NaN
GM1581,-1.69409916835754
GM0981,4.97535200862761
GM0994,4.19555872974381
GM0858,3.83599924367193
GM0047,0.783690795766915
GM0345,-0.501856763045619
GM0717,-0.275024271573198
GM0861,2.57571791433706
GM0453,-3.51227663590752
GM0983,NaN
GM0984,NaN
GM1961,-1.25195076720837
GM0622,-2.33866973193815
GM0718,-0.703289785895152
GM0986,4.46929979744073
GM0626,-3.36519698188325
GM0285,-1.29686278462378
GM0865,-0.226256251458799
GM1949,-0.827121616175287
GM0866,3.00595544907362
GM0867,-0.961070692923074
GM0627,-1.9823679613874
GM0289,-0.218381850348919
GM0629,-3.22102861549889
GM0852,-3.47471735483918
GM0988,3.38229468300804
GM1960,-1.03772415399722
GM0668,-0.574094014744705
GM1969,-0.204211275013241
GM1701,-0.331811874289485
GM0293,NaN
GM1950,1.13058104027934
GM1783,-2.04532087979722
GM0098,-1.08016111108933
GM0189,1.46435023780428
GM0296,NaN
GM1696,-2.70524267547895
GM0352,-1.34765163834088
GM0294,1.32897790667266
GM0873,0.441295805779359
GM0632,NaN
GM0880,-3.70237045232939
GM0351,NaN
GM0353,-2.15243113047142
GM0479,-3.43567048232058
GM0297,-0.731052856030907
GM0473,-3.77431239066
GM0050,-2.49323372771288
