"index","code","name","xPos","yPos"
253,"GM1883","Sittard-Geleen",186625.475321215,335653.837000001
254,"GM0610","Sliedrecht",112443.162830563,427110.593500001
255,"GM1714","Sluis",24495.1333705199,372402.923999999
256,"GM0090","Smallingerland",199413.844156797,570096.101499999
257,"GM0342","Soest",148646.158569819,463245.351500001
258,"GM0847","Someren",175996.194254638,377520.446999999
259,"GM0848","Son en Breugel",162231.159617418,392101.7115
260,"GM0037","Stadskanaal",263301.731059649,557841.203499999
261,"GM0180","Staphorst",210551.878846757,516826.271499999
262,"GM0532","Stede Broec",144094.908923335,523377.534500001
263,"GM0851","Steenbergen",80331.2214746974,401844.816000002
264,"GM1708","Steenwijkerland",197901.995861768,529241.8495
265,"GM0971","Stein (L.)",181242.687616094,331611.484999999
266,"GM1904","Stichtse Vecht",128176.641133526,468379.6305
267,"GM1900","Súdwest-Fryslân",166847.233502322,557113.631899999
268,"GM0715","Terneuzen",46976.0565852806,367171.727
269,"GM0093","Terschelling",148474.313326891,601029.852700001
270,"GM0448","Texel",116925.790298288,566599.339199999
271,"GM1525","Teylingen",95176.1173171103,470271.658499999
272,"GM0716","Tholen",67028.2659829086,398660.885499999
273,"GM0281","Tiel",156782.086370453,433199.068499999
274,"GM0855","Tilburg",132755.993507658,399680.423500001
275,"GM0183","Tubbergen",249388.286627444,491522.1095
276,"GM1700","Twenterand",239866.34961504,495344.274
277,"GM1730","Tynaarlo",233491.485840944,570128.634499999
278,"GM0737","Tytsjerksteradiel",194225.768309004,579954.6335
279,"GM0450","Uitgeest",110893.556792979,504158.5965
280,"GM0451","Uithoorn",114712.649327099,471927.3465
281,"GM0184","Urk",170823.061161716,519246.980549999
282,"GM0344","Utrecht",135228.413039014,455160.547
283,"GM1581","Utrechtse Heuvelrug",155523.53473777,448923.402999999
284,"GM0981","Vaals",196899.558868421,309969.364499999
285,"GM0994","Valkenburg aan de Geul",185020.375257198,319084.5485
286,"GM0858","Valkenswaard",159949.535563782,370113.422499999
287,"GM0047","Veendam",254786.323538,567017.436999999
288,"GM0345","Veenendaal",166298.250048939,448329.353500001
289,"GM0717","Veere",24953.7062166288,394896.17
290,"GM0861","Veldhoven",155386.422519003,379837.344500002
291,"GM0453","Velsen",102968.405889499,496094.272500001
292,"GM0983","Venlo",208058.364769778,378430.977
293,"GM0984","Venray",194698.196040579,391172.431
294,"GM1961","Vijfheerenlanden",131783.763267942,438015.424000001
295,"GM0622","Vlaardingen",82215.9414322195,437665.372499999
296,"GM0096","Vlieland",126133.102876961,585682.310699999
297,"GM0718","Vlissingen",31023.8837157261,387141.25815
298,"GM0986","Voerendaal",192082.203047478,320420.068000002
299,"GM0626","Voorschoten",90197.4672726702,460131.2015
300,"GM0285","Voorst",202734.179988095,472369.285
301,"GM0865","Vught",144584.218626015,406954.1085
302,"GM1949","Waadhoeke",169464.239007674,582813.01615
303,"GM0866","Waalre",160494.865597251,377392.779999999
304,"GM0867","Waalwijk",129421.759160205,411033.663000001
305,"GM0627","Waddinxveen",103846.808147781,450946.082999999
306,"GM0289","Wageningen",174317.05319994,442275.562999999
307,"GM0629","Wassenaar",85932.4476158834,461879.25605
308,"GM0852","Waterland",128595.758539154,496414.04975
309,"GM0988","Weert",177198.204393604,360724.236500001
310,"GM1960","West Betuwe",141698.506133412,431252.652000001
311,"GM0668","West Maas en Waal",162658.754127604,429295.565499999
312,"GM1969","Westerkwartier",219038.141960065,581231.213499999
313,"GM1701","Westerveld",217292.622667894,538265.5375
314,"GM0293","Westervoort",194939.751985421,441427.373
315,"GM1950","Westerwolde",272673.238929037,558301.104500001
316,"GM1783","Westland",73723.896192171,446379.760499999
317,"GM0098","Weststellingwerf",196837.128689286,542960.374500001
318,"GM0189","Wierden",233766.776104889,484596.369000001
319,"GM0296","Wijchen",176294.562086698,425773.196
320,"GM1696","Wijdemeren",134718.862524349,470884.881999999
321,"GM0352","Wijk bij Duurstede",151026.588872452,444729.063999999
322,"GM0294","Winterswijk",247816.614286989,443014.874499999
323,"GM0873","Woensdrecht",81302.0456991214,380666.807500001
324,"GM0632","Woerden",121285.836866236,458459.338
325,"GM0880","Wormerland",119194.827063464,502131.214499999
326,"GM0351","Woudenberg",156692.617234558,454674.581
327,"GM0353","IJsselstein",130394.978133844,448706.2125
328,"GM0479","Zaanstad",113302.570904435,498078.593500001
329,"GM0297","Zaltbommel",141378.013513993,421536.3575
330,"GM0473","Zandvoort",97486.9921414767,485876.1326
331,"GM0050","Zeewolde",158527.046567805,484410.564099999
332,"GM0355","Zeist",145719.990271492,458530.4145
333,"GM0299","Zevenaar",202499.490586321,437962.747
334,"GM0637","Zoetermeer",93283.5611225676,453050.032
335,"GM0638","Zoeterwoude",94590.1729041743,458779.7765
336,"GM1892","Zuidplas",101838.407911623,445965.763
337,"GM0879","Zundert",104081.827792689,388781.915000001
338,"GM0301","Zutphen",213454.846245984,460431.083000001
339,"GM1896","Zwartewaterland",199614.627390096,513839.67
340,"GM0642","Zwijndrecht",101686.939471875,426482.154550001
341,"GM0193","Zwolle",203228.763056884,503223.7105
